               alpha     variance_energy      expected_energy                time
                 0.1         61.08005488         25.71645771         0.564683793
                 0.2          10.9282481         14.47205252         0.502854039
                 0.3         2.808375568         11.32322424         0.485071657
                 0.4        0.5074370227         10.25250052         0.493417079
                 0.5                   0                  10         0.407034575
                 0.6        0.3422792207         10.15215532          0.40459708
                 0.7         1.208595489         10.53331074         0.404232103
                 0.8         2.456899338         11.06231889         0.399877602
                 0.9         4.025782216         11.68243519         0.391351667
                   1          5.86579468         12.37227593         0.384193069
