               alpha     variance_energy      expected_energy                time
                 0.1         125.0045373         3.487182772            0.142264
        0.1310344828         81.28321514         2.848719439             0.13793
        0.1620689655         57.87483937          2.43327716            0.140306
        0.1931034483         44.65515343         2.156274402            0.144645
         0.224137931         36.50148162         1.964357853             0.13477
        0.2551724138         31.14040362         1.825855085            0.140245
        0.2862068966          27.5117241         1.724653435            0.134622
        0.3172413793          24.9188059         1.648276968            0.134267
        0.3482758621         23.15145671         1.594112012             0.13269
        0.3793103448         21.92105123         1.555027551            0.136944
        0.4103448276         21.11789407         1.528969145            0.133485
        0.4413793103          20.5988838         1.511753733            0.136297
        0.4724137931         20.32587491         1.502580837            0.135394
        0.5034482759         20.24971263         1.499986082            0.133888
        0.5344827586         20.33297612         1.502766058            0.135792
        0.5655172414         20.56233159         1.510502624            0.130919
        0.5965517241         20.88935402         1.521416907            0.134046
        0.6275862069          21.3246426         1.535848294            0.131046
        0.6586206897         21.84245857         1.552826558            0.136386
        0.6896551724         22.44255806          1.57233902            0.132499
        0.7206896552         23.08723984         1.592912869            0.131944
        0.7517241379         23.84633939         1.617114321            0.129233
        0.7827586207         24.65157171         1.642183607            0.131203
        0.8137931034         25.49160257         1.668095007            0.134911
        0.8448275862         26.41828502          1.69600294            0.132822
         0.875862069         27.35265361         1.723823194            0.127739
        0.9068965517         28.40765597         1.754923227            0.130944
        0.9379310345          29.4801798         1.785466892            0.132794
        0.9689655172         30.67457757         1.819743993             0.12914
                   1         31.81859579         1.851477048            0.129735
