               alpha     variance_energy      expected_energy                 time     acceptance_rate
                 0.1         87.12915784         39.26256206         5.170544881        0.9747068405
                 0.2         17.09464685         21.87608242         4.997088638        0.9634062767
                 0.3         4.309452859          17.1732049         4.876560511        0.9542894363
                 0.4        0.7578559028         15.39207704         4.824133512        0.9467186928
                 0.5     1.133795422e-07         15.00000031         5.296121224        0.9394830704
                 0.6        0.5295689945         15.18373247         4.964083037        0.9324539185
                 0.7         1.878933106         15.75834708          4.92464488        0.9266084671
                 0.8         3.735375093         16.51265911         4.916156333        0.9204544067
                 0.9         6.294811671         17.44051083           4.9181325        0.9146954536
                   1         9.119624199         18.35839254         4.855854163        0.9087594032
