               alpha     variance_energy     expected_energy
                0.02        -127305.9284         360.3653743
                0.04        -96195.59402         313.1507406
                0.06        -90268.72978         303.3127593
                0.08          -66052.625         259.2152801
                 0.1        -56588.85635         239.8436604
                0.12        -59649.70556          246.517287
                0.14        -50293.99853         226.0165984
                0.16         -39665.3038         200.6303764
                0.18        -31206.07621         177.8637948
                 0.2        -29429.13511         172.7150628
                0.22        -30594.69888         176.0889688
                0.24        -28145.00382         168.8224299
                0.26        -28266.71065         169.1579329
                0.28        -23222.66932         153.2648278
                 0.3        -23331.27197          153.628921
                0.32        -23772.41264         155.0423193
                0.34        -23186.57528         153.1040614
                0.36         -22688.5947         151.4351205
                0.38        -22791.35395         151.7633186
                 0.4        -22013.28327         149.1353402
                0.42        -22390.28203          150.402642
                0.44        -21696.75248         148.0457535
                0.46        -21812.47809          148.437189
                0.48        -22164.88461         149.6294999
                 0.5              -22275                 150
                0.52        -22446.02632         150.5755602
                0.54         -22603.8006         151.1059218
                0.56        -22915.43573         152.1468691
                0.58        -23501.52616         154.0829181
                 0.6        -23773.48919         154.9774056
                0.62        -24197.88093         156.3609198
                0.64        -24732.38837         158.0837408
                0.66        -24478.53799         157.2905504
                0.68        -26365.01413         163.2236673
                 0.7        -27008.81807         165.2183911
                0.72        -26917.77969         164.9516161
                0.74        -27439.08265         166.5427543
                0.76        -27893.40729         167.9366286
                0.78        -28946.64159         171.0728486
                 0.8        -28791.49799         170.6417579
                0.82        -28952.35325         171.1298816
                0.84        -30964.82538         176.9730161
                0.86        -31613.40481         178.8185735
                0.88        -31267.80992         177.8681364
                 0.9        -33417.45911          183.873622
                0.92        -33760.44603         184.8281394
                0.94        -34184.64178         185.9985673
                0.96        -36664.51668         192.6029842
                0.98        -34913.65787         187.9933122
                   1        -39968.39659          201.084189
                1.02        -36579.32042         192.4523982
                1.04        -39983.03709         201.1768728
                1.06        -42093.41834         206.3989996
                1.08        -38527.05349         197.5467078
                 1.1           -41638.56         205.3439296
                1.12        -44598.82774         212.5066111
                1.14        -43740.49252         210.5136055
                1.16        -43871.38418         210.8490333
                1.18        -47673.71761         219.7291421
                 1.2        -50747.37659         226.6580467
                1.22         -47554.4962         219.5238525
                1.24        -50463.52288         226.0825835
                1.26        -47797.70446         220.0966624
                1.28        -52423.97712         230.4632223
                 1.3        -55087.52707         236.2210648
                1.32        -56289.68764         238.7936769
                1.34        -54600.25585         235.2608453
                1.36        -59392.34886         245.2779252
                1.38        -55055.02143         236.2939558
                 1.4        -59673.17046         245.9532447
                1.42        -60090.00923         246.8318347
                1.44        -62175.61463         251.0252965
                1.46        -61154.92207         249.0075273
                1.48        -67585.30363         261.6936128
                 1.5        -72191.78179         270.4604295
                1.52         -68252.3107          263.057945
                1.54        -66780.45673         260.2387194
                1.56        -71412.93533         269.0840777
                1.58        -69931.87595         266.3707433
                 1.6         -71128.2081          268.630358
                1.62        -74717.93414         275.2546206
                1.64        -75598.36536         276.9285749
                1.66        -81823.25638         287.9939574
                1.68        -78760.94826         282.6736914
                 1.7        -81477.41852         287.4873891
                1.72        -80282.81067         285.4568347
                1.74        -73791.49529         273.7616832
                1.76        -81580.51105         287.7945891
                1.78        -84484.77678         292.7514114
                 1.8         -91333.6436          304.292321
                1.82        -89950.79014         302.0932775
                1.84        -86494.62692          296.340737
                1.86        -90514.55787          303.160572
                1.88        -96641.28383         313.0800301
                 1.9        -90959.05257         303.8482499
                1.92         -100264.606         318.9101853
                1.94        -102440.1377         322.4016637
                1.96        -103291.5562         323.7384487
                1.98        -99445.87738         317.7843845
                   2        -91130.08956         304.3922129
