               alpha     variance_energy     expected_energy
                0.02        -3383481.105          1855.14121
                0.04        -833316.2768         920.4983497
                0.06        -390697.5476         630.1816037
                0.08        -222838.0699         475.8987596
                 0.1        -147918.8216         387.6707118
                0.12        -106963.9095         329.5752041
                0.14        -80380.07842         285.6359769
                0.16        -66547.95042         259.8529569
                0.18        -53780.74945         233.5405077
                 0.2        -46897.22897         218.0350563
                0.22        -40711.35912         203.1021842
                0.24        -36499.17576          192.265864
                0.26        -33296.29808         183.5971961
                0.28        -30556.28407         175.8455777
                 0.3        -28384.85715         169.4532411
                0.32        -26876.26164         164.8628028
                0.34        -25692.59122         161.1704603
                0.36         -24865.2781         158.5359404
                0.38        -23936.31984         155.5309971
                 0.4         -23486.4101         154.0501923
                0.42        -22954.23584         152.2851051
                0.44         -22677.0085         151.3558459
                0.46        -22439.29142         150.5556806
                0.48        -22299.59505         150.0836193
                 0.5              -22275                 150
                0.52        -22316.02893         150.1388511
                0.54         -22425.3819         150.5084282
                0.56        -22597.82734          151.089383
                0.58        -22759.30471         151.6328948
                 0.6        -23003.07964         152.4483829
                0.62        -23283.60095         153.3818779
                0.64        -23619.44307         154.4910795
                0.66        -24059.29524         155.9300735
                0.68        -24439.93568         157.1672337
                 0.7        -24867.22867         158.5444815
                0.72         -25429.2616         160.3343201
                0.74        -25973.10213         162.0480689
                0.76        -26445.77105         163.5259298
                0.78        -27021.56383         165.3059439
                 0.8        -27516.75801         166.8254999
                0.82        -28181.69544          168.839152
                0.84        -28864.35268         170.8797162
                0.86        -29531.95881          172.854874
                0.88         -30072.3371         174.4424386
                 0.9        -30908.62148         176.8583342
                0.92        -31575.47787         178.7690851
                0.94        -32256.84166          180.698796
                0.96        -33171.82132         183.2519724
                0.98        -33871.60226         185.1850596
                   1        -34765.64894         187.6218773
                1.02        -35506.09164         189.6213758
                1.04        -36331.99504         191.8245159
                1.06         -37286.2389         194.3337699
                1.08        -38406.53951         197.2367679
                 1.1        -39038.65608         198.8708828
                1.12        -40086.26423         201.5255171
                1.14        -40871.26593         203.5029168
                1.16        -41892.88527         206.0410549
                1.18        -42622.39761         207.8390258
                 1.2        -44459.96303         212.2604581
                1.22        -45245.32271         214.1443509
                1.24        -45950.82234         215.8251022
                1.26        -47519.58644         219.4757217
                1.28        -48095.10351         220.8159334
                 1.3         -49267.5511         223.4991817
                1.32        -50533.41939         226.3580769
                1.34        -51313.22101         228.1113433
                1.36        -53083.44596         232.0076761
                1.38        -54041.62811         234.1046279
                 1.4        -55280.86994         236.7864616
                1.42        -56315.19561         238.9993437
                1.44         -57362.3284          241.222987
                1.46        -59393.12225         245.4442293
                1.48        -59964.21403          246.642228
                 1.5        -61516.41944          249.816627
                1.52        -63231.31881         253.2681973
                1.54        -64961.31077         256.7133488
                1.56        -65833.26558         258.4434662
                1.58        -67317.70364         261.3438577
                 1.6        -68390.12898         263.4290951
                1.62        -69652.65629         265.8599793
                1.64         -71174.6025         268.7513528
                1.66        -72534.33103         271.3209059
                1.68        -73842.99114         273.7623587
                 1.7        -75427.12256         276.6838602
                1.72        -77403.37183         280.2846783
                1.74        -79678.13556         284.3596987
                1.76         -80768.2189         286.3152612
                1.78        -82092.44503         288.6652829
                 1.8         -83096.0862         290.4406936
                1.82        -84588.81046         293.0395759
                1.84        -86484.94318         296.3065425
                1.86        -87978.41472         298.8732531
                1.88        -90247.05516         302.6867943
                 1.9        -92358.53423         306.1953157
                1.92        -93406.74031         307.9452388
                1.94        -94356.10615         309.5310976
                1.96        -96888.86059         313.6478203
                1.98        -98431.44578         316.1429839
                   2        -99804.65189         318.3549309
