n_particles 10
               alpha     variance_energy     expected_energy
                 0.1         1152.493113         349.8545905
        0.1230769231         837.2340789         313.7840246
        0.1461538462         471.2581501         271.2004515
        0.1692307692         262.9869451         211.0464704
        0.1923076923         229.9280769         206.3047641
        0.2153846154         191.6283862         204.9450605
        0.2384615385         131.7867159         185.7549964
        0.2615384615         84.25349567         179.4269033
        0.2846153846         75.15858762         173.0272656
        0.3076923077         50.44195525         167.1089387
        0.3307692308         35.32261114         160.6687908
        0.3538461538         22.73104294         158.3469109
        0.3769230769          11.4605293         155.4113484
                 0.4         10.72405543         155.3710577
        0.4230769231         4.600307555         151.8935127
        0.4461538462         2.491806973         150.8614579
        0.4692307692        0.7126846513          150.439004
        0.4923076923        0.0400039474          150.019801
        0.5153846154        0.1450296024         150.2881256
        0.5384615385        0.7968442356         150.6856765
        0.5615384615         2.241693423         151.4760787
        0.5846153846         4.216448966         151.7589478
        0.6076923077           7.5789298         155.0142003
        0.6307692308         8.408182414         154.6228008
        0.6538461538          11.8828981         156.9071286
        0.6769230769          16.8547933         156.3392766
                 0.7         19.92823537          160.081691
        0.7230769231         22.95966861         161.6730182
        0.7461538462         28.60478437         161.8284977
        0.7692307692         27.39357978         164.1348209
        0.7923076923         38.73337696         165.7648716
        0.8153846154         35.83450583         172.4878172
        0.8384615385         46.61936681         168.9974333
        0.8615384615         53.81316471         171.4775718
        0.8846153846         56.54512731          175.727192
        0.9076923077         71.35196934         175.9937979
        0.9307692308         70.13116614         182.1201736
        0.9538461538         84.02654754         182.7268961
        0.9769230769         76.96972401         186.9191948
                   1         101.9857519         186.3856471
