               alpha     variance_energy     expected_energy
                0.02        -1904853.344         1393.296892
                0.04         -634117.037         803.0230525
                0.06        -305563.8693         557.6649164
                0.08         -189876.242         439.3767477
                 0.1         -133880.183         368.8662085
                0.12        -98778.19944         316.7319831
                0.14        -75547.49003         276.9224446
                0.16        -59797.87525         246.3372456
                0.18        -49671.35913         224.4358416
                 0.2        -44608.24325         212.6522383
                0.22        -40208.79786         201.8456158
                0.24        -35314.10794         189.1140302
                0.26        -31693.30794         179.1230632
                0.28        -28327.52064         169.3049515
                 0.3        -27261.83681         166.0632306
                0.32          -26264.208         162.9724353
                0.34         -24668.7336         157.9231906
                0.36         -24416.5108          157.098573
                0.38        -23543.64567         154.2473629
                 0.4        -23028.25583         152.5388228
                0.42        -22574.86011         151.0206986
                0.44        -22498.23634         150.7579842
                0.46        -22318.01663         150.1481569
                0.48        -22245.83153         149.9025479
                 0.5              -22275                 150
                0.52        -22320.39007         150.1535395
                0.54        -22623.28743         151.1707758
                0.56        -22745.51345         151.5822438
                0.58        -22953.68157         152.2787944
                 0.6        -23171.52536         153.0048926
                0.62        -23571.88285         154.3270279
                0.64         -24115.1375         156.1015294
                0.66        -24257.78018         156.5718786
                0.68        -24902.67984         158.6455536
                 0.7        -25388.55806         160.1941885
                0.72        -25686.89488         161.1431315
                0.74         -26767.2056         164.4986541
                0.76        -27217.74127         165.8899258
                0.78        -27725.06346         167.4430437
                 0.8        -28460.61844         169.6548543
                0.82        -28909.41809         171.0004027
                0.84        -29430.67947         172.5458086
                0.86        -29742.93804          173.475955
                0.88        -30896.82233         176.8126762
                 0.9        -31866.28816         179.5721579
                0.92        -32815.45248          182.230696
                0.94        -33773.20196         184.8833162
                0.96          -34460.945         186.7652605
                0.98        -34910.53292         187.9915883
                   1        -36331.77694         191.7776571
                1.02        -36637.29425         192.6103881
                1.04        -38369.02809         197.1067335
                1.06        -38909.09921          198.494793
                1.08        -39765.64726         200.6831269
                 1.1        -40470.23318         202.4611103
                1.12        -41969.72207         206.1860692
                1.14        -43340.04266         209.5321741
                1.16        -43755.85811         210.5443018
                1.18        -44416.03412          212.143903
                 1.2         -46525.3145         217.1026431
                1.22        -47303.89329         218.9387509
                1.24        -46976.11854         218.2074577
                1.26        -48937.21868         222.7152743
                1.28        -50260.11618         225.7016702
                 1.3        -52568.84472         230.8224428
                1.32        -52733.58249         231.2013893
                1.34        -54131.47768         234.2589152
                1.36         -55731.6855         237.6914542
                1.38        -57221.42223         240.8421944
                 1.4        -57396.61023         241.2557017
                1.42        -58785.73991         244.1398726
                1.44        -58939.03593          244.500557
                1.46        -61081.50296         248.8979587
                1.48        -62137.57098         251.0538531
                 1.5        -65117.96347         256.9672339
                1.52        -65243.20849         257.2370409
                1.54        -67535.84523         261.7199416
                1.56        -68321.35475         263.2618682
                1.58        -68341.47242         263.3386224
                 1.6        -71309.87169         268.9690085
                1.62        -73087.32515         272.2990175
                1.64        -73240.68589         272.6284963
                1.66        -75961.73875         277.6093019
                1.68        -76650.67861         278.8976323
                 1.7        -77427.47914         280.3263975
                1.72        -81651.12442         287.8233922
                1.74        -81780.19812         288.0830766
                1.76        -81873.01175          288.261869
                1.78        -86169.21991         295.7027883
                 1.8        -86408.89072          296.141538
                1.82        -88248.50769         299.2974099
                1.84        -90135.87736         302.4598715
                1.86        -91613.08959         304.9576745
                1.88         -93192.4848         307.5780019
                 1.9        -93162.04962         307.5715188
                1.92        -97038.98219         313.8460624
                1.94        -99603.73206         317.9632527
                1.96        -100586.1296         319.5406647
                1.98         -103746.961         324.5362035
                   2        -105067.9764         326.6010904
