               alpha     variance_energy     expected_energy
                0.02         -1733155.71         1328.663901
                0.04        -653895.5068         815.8205441
                0.06        -298711.5865         551.0762626
                0.08        -230373.5067          483.925806
                 0.1        -137908.8408         374.3558483
                0.12        -102586.3734         322.7467786
                0.14        -78516.37491         282.2842955
                0.16        -62949.09278         252.7298718
                0.18        -50367.61014          226.005088
                 0.2         -44963.8757         213.5104282
                0.22        -40537.84365         202.6655379
                0.24        -37449.90167         194.7517195
                0.26         -31450.0216          178.433976
                0.28        -31020.48836         177.1719303
                 0.3        -27999.01154         168.2971067
                0.32          -26066.643         162.3599968
                0.34        -25535.72763         160.6773045
                0.36        -24347.96755         156.8760969
                0.38        -23750.32463         154.9224738
                 0.4         -23580.4144          154.358516
                0.42        -22964.17393         152.3173712
                0.44        -22597.78595         151.0907974
                0.46         -22398.5192         150.4186711
                0.48        -22300.25615         150.0858531
                 0.5              -22275                 150
                0.52        -22345.29413          150.237238
                0.54        -22418.02717         150.4837957
                0.56        -22563.44144         150.9743814
                0.58        -22734.77428         151.5515783
                 0.6        -22845.03786         151.9239192
                0.62        -23321.57796         153.5057356
                0.64        -23783.75752         155.0248061
                0.66        -23521.57323         154.1822195
                0.68        -24655.83892         157.8573365
                 0.7        -24621.41848         157.7585026
                0.72        -25207.93117          159.636692
                0.74         -25911.8964         161.8565999
                0.76        -26587.61766         163.9646994
                0.78         -27281.8292         166.0950988
                 0.8        -27402.49422          166.478447
                0.82        -28018.71274         168.3474696
                0.84        -28714.29821         170.4354857
                0.86        -29081.87036          171.527446
                0.88        -29346.60487         172.3358294
                 0.9        -31003.72275         177.1290063
                0.92        -31316.16695         178.0399302
                0.94        -32234.28027         180.6359784
                0.96        -32889.72774         182.4694284
                0.98        -32623.37071         181.7579897
                   1        -34558.50365           187.06364
                1.02        -34217.74844         186.1641229
                1.04        -35566.34353         189.8064213
                1.06        -36139.04744         191.3385844
                1.08         -38149.6335         196.5918617
                 1.1        -39979.40397         201.2418175
                1.12        -39161.39428         199.1999572
                1.14         -40242.4108         201.9621643
                1.16        -42000.36619         206.3130139
                1.18        -41645.16842         205.4660363
                 1.2        -44288.70289          211.853833
                1.22        -43124.26534         209.0921974
                1.24         -45536.3431         214.8511006
                1.26        -43397.29667          209.821674
                1.28        -46542.97267         217.2857392
                 1.3        -49473.43852         223.9938818
                1.32        -47471.67542         219.4886355
                1.34        -51027.62794         227.4810656
                1.36        -51060.98149         227.5900614
                1.38        -54634.79828         235.4151179
                 1.4        -53529.10628         233.0451602
                1.42        -51277.48125           228.15011
                1.44        -55574.24835         237.5029013
                1.46        -53186.88401         232.4334483
                1.48         -60174.3138         247.1235632
                 1.5        -56869.45922          240.295702
                1.52        -52188.98761         230.3018724
                1.54        -60260.69568         247.3974613
                1.56         -60074.8176         247.0497189
                1.58        -56980.09576         240.6793821
                 1.6        -57573.02761         242.0624429
                1.62        -60900.18073         248.8264048
                1.64        -61008.81714         249.0411896
                1.66        -63636.05225         254.4564009
                1.68        -58007.67115         243.1149516
                 1.7        -62472.19081         252.0512332
                1.72        -62728.44472         252.8350352
                1.74        -67568.76619         262.2481322
                1.76        -72376.09486         271.2974694
                1.78         -68745.4521         264.6170455
                 1.8         -63032.0725          253.482198
                1.82        -68769.17047         265.0436246
                1.84        -66110.51029         259.7931602
                1.86        -48049.57766         222.8690046
                1.88        -64159.08006         256.5175907
                 1.9        -64757.38116         257.3265404
                1.92        -53427.67119         234.6869717
                1.94        -57201.17117         242.4172504
                1.96        -47912.20589         223.1510349
                1.98        -65178.59794          258.734736
                   2        -55944.11166         240.2985702
