               alpha     variance_energy     expected_energy
                0.02        -35.70657843          6.00560166
                0.04        -142.6916798         12.00554081
                0.06        -320.9369028         18.00496292
                0.08        -570.5051301          24.0055787
                 0.1        -891.3166978         30.00533115
                0.12        -1283.422502          36.0053658
                0.14        -1746.779558         42.00504489
                0.16        -2281.387239         48.00449515
                0.18        -2887.320561          54.0044944
                 0.2        -3564.548885         60.00462007
                0.22        -4313.108258          66.0051135
                0.24          -5132.7686         72.00426896
                0.26        -6023.782259         78.00402903
                0.28         -6986.07343         84.00380842
                 0.3        -8019.650748         90.00365171
                0.32        -9124.405959         96.00297743
                0.34         -10300.5691         102.0030159
                0.36        -11547.92574         108.0026456
                0.38        -12866.56217         114.0023133
                 0.4        -14256.47871         120.0020148
                0.42        -15717.65743         126.0016732
                0.44         -17250.1009         132.0013043
                0.46        -18853.80451         138.0008949
                0.48        -20528.76893         144.0004522
                 0.5              -22275                 150
                0.52        -24092.48483         155.9994976
                0.54         -25981.2517         161.9990388
                0.56        -27941.30191         167.9986228
                0.58        -29972.57571         173.9980718
                 0.6        -32075.11103         179.9975057
                0.62         -34249.0325         185.9972643
                0.64        -36493.97131         191.9963471
                0.66        -38810.51643         197.9963178
                0.68        -41197.97408         203.9953804
                 0.7         -43656.6569         209.9943648
                0.72        -46186.65168         215.9934803
                0.74        -48788.53213         221.9940215
                0.76        -51461.17457         227.9933868
                0.78        -54204.81284         233.9921712
                 0.8        -57019.41941         239.9903605
                0.82        -59905.91823         245.9898951
                0.84        -62864.04776         251.9901548
                0.86         -65892.6599         257.9888415
                0.88        -68992.50996         263.9875073
                 0.9        -72164.54523         269.9879257
                0.92        -75407.69257         275.9880187
                0.94        -78720.78516          281.985717
                0.96        -82107.75984         287.9880747
                0.98        -85563.30254         293.9856771
                   1        -89089.88656         299.9829735
                1.02        -92689.32365         305.9829725
                1.04        -96358.23341         311.9800457
                1.06        -100101.0318         317.9813726
                1.08        -103912.0199          323.977833
                 1.1          -107797.35         329.9791087
                1.12        -111751.8787         335.9772099
                1.14        -115779.4318         341.9779539
                1.16         -119873.645         347.9719671
                1.18        -124045.2568         353.9749132
                 1.2        -128285.7459         359.9743902
                1.22        -132599.3974         365.9764818
                1.24        -136980.2078         371.9729107
                1.26        -141434.6984         377.9726601
                1.28        -145956.2434         383.9668591
                 1.3        -150555.9056         389.9700916
                1.32        -155221.2123         395.9660381
                1.34        -159960.6854         401.9657323
                1.36        -164768.4338         407.9617156
                1.38        -169654.0377         413.9658378
                 1.4        -174605.4954         419.9633166
                1.42        -179627.4919         425.9599876
                1.44        -184727.0858         431.9641374
                1.46        -189888.3283         437.9570667
                1.48        -195125.1703         443.9551009
                 1.5        -200431.9061         449.9516317
                1.52        -205818.6746         455.9579488
                1.54        -211269.4954            461.9562
                1.56        -216793.5848         467.9566422
                1.58        -222384.9594         473.9528163
                 1.6        -228049.4257         479.9509925
                1.62        -233785.6616         485.9497227
                1.64        -239591.8145         491.9470844
                1.66        -245469.0621         497.9443218
                1.68        -251416.1148         503.9401468
                 1.7        -257445.4115         509.9469289
                1.72        -263543.1711         515.9507955
                1.74        -269698.5591         521.9413636
                1.76        -275932.1507         527.9387693
                1.78        -282241.6746          533.940634
                 1.8        -288621.4041         539.9414522
                1.82        -295054.6989         545.9258645
                1.84        -301582.2584         551.9316478
                1.86        -308167.8646         557.9253278
                1.88        -314838.6825         563.9316193
                 1.9        -321564.1467         569.9230382
                1.92        -328376.2187         575.9280773
                1.94         -335246.564         581.9217241
                1.96        -342189.4835         587.9166123
                1.98         -349214.253         593.9205922
                   2        -356313.7782         599.9274184
